location,Latitude,Longitude,No
BTM          ,12.915177,77.610282,117
Jayanagar    ,12.929273,77.582423,100
Shivajinagar ,18.529459,73.847825,66
HSR          ,12.911623,77.638862,66
Basavanagudi ,12.941726,77.575502,37
Bannerghatta Road,12.9035841,77.6011747,36
Marathahalli ,12.955257,77.698416,35
JP Nagar     ,12.909694,77.586607,34
Banaswadi    ,13.014162,77.651854,33
Banashankari ,12.94175,77.550589,29
Shanti Nagar ,18.503952,73.871595,28
Frazer Town  ,12.996865,77.614162,28
Electronic City                  ,12.836273,77.680243,27
Whitefield   ,12.969637,77.749745,26
Bellandur    ,12.929211,77.677042,23
Brookefield  ,12.965209,77.717936,23
Vasanth Nagar,12.991455,77.594141,20
Rajajinagar  ,12.9999085,77.549857,19
Koramangala 7th Block            ,12.9363,77.613927,19
Koramangala 6th Block            ,12.937563,77.621138,18
Malleshwaram ,13.002735,77.570325,17
Indiranagar  ,12.973291,77.640467,17
Kalyan Nagar ,13.022142,77.640337,17
HBR Layout   ,13.03587,77.63236,15
Old Airport Road                 ,12.9584404,77.6661308,14
Brigade Road ,12.9734696,77.60814705,13
Cunningham Road                  ,12.98520135,77.59578404,13
Commercial Street                ,12.982042,77.607327,12
Sarjapur Road,12.90982715,77.6878412,12
Ulsoor       ,12.978551,77.622481,11
Richmond Road,12.962204,77.594192,10
Koramangala 5th Block            ,12.933497,77.619939,10
Residency Road                   ,12.9715102,77.6056382,10
Bommanahalli ,12.908945,77.623904,8
"Varthur Main Road, Whitefield    ",12.9414662,77.7470942,8
Koramangala 8th Block            ,12.940983,77.619256,8
Nagawara     ,13.039842,77.624736,7
Majestic     ,12.978554,77.57355,7
New BEL Road ,13.0341081,77.5686995,7
Vijay Nagar  ,19.114215,72.849648,7
Hennur       ,13.037691,77.64329,6
Kanakapura Road                  ,12.896796,77.5724,6
Yeshwantpur  ,13.018022,77.557332,6
Thippasandra ,12.973181,77.647944,5
Kumaraswamy Layout               ,12.899531,77.562166,5
Koramangala 1st Block            ,12.925952,77.635939,5
Jalahalli    ,13.060794,77.512154,5
City Market  ,12.866475,74.838242,5
Koramangala 4th Block            ,12.933126,77.629162,4
Infantry Road,12.9119302,79.1306966,4
Sahakara Nagar                   ,13.068316,77.576062,2
Basaveshwara Nagar               ,17.906028,77.516757,2
Kaggadasapura,12.975113,77.674812,2
Domlur       ,12.962467,77.638196,2
RT Nagar     ,13.020228,77.597758,2
Magadi Road  ,12.975665,77.555688,2
Mysore Road  ,12.9467325,77.5302385,2
"ITPL Main Road, Whitefield       ",12.97078195,77.71261933,2
Sanjay Nagar ,12.972486,77.694631,1
Sadashiv Nagar,15.350925,75.132628,1
Seshadripuram,12.993489,77.582224,1
Hebbal       ,13.042987,77.591008,1
