prefix,suffix_1,suffix_2,suffix_3,suffix_4,suffix_5,suffix_6
Parisar,Veg,Restaurant,,,,
Vakulaa,Veg,Restaurant,,,,
Vishwamitra,Veg,Restaurant,,,,
Skandas,Veg,Restaurant,,,,
Gangothri,Veg,Restaurant,,,,
Loukya,Veg,Restaurant,,,,
Sitara,Veg,Restaurant,,,,
Udupas,Veg,Restaurant,,,,
Mayur,Veg,Restaurant,,,,
Pavana,Veg,Restaurant,,,,
Shilpa,Veg,Restaurant,,,,
New,Punjabi,Pure,Veg,Restaurant,,
Amaravati,Pure,Veg,Restaurant,,,
A2B,Veg,Adyar,Ananda,Bhavan,,
A2B,Adyar,Ananda,Bhavan,,,
Cafe,Udupi,Ruchi,,,,
SKS,Veg,Corner,,,,
Brahmins,Food,Corner,,,,
Sri,Sai,Bhavan,,,,
New,Krishna,Bhavan,,,,
Sri,Krishna,Bhavan,,,,
Sri,Krishna,Bhavan,,,,
Sri,Vishnu,Bhavan,Veg,,,
Sri,SLV,Bhavan,,,,
Sri,Saravana,Bhavan,,,,
Sri,Saravana,Bhavan,,,,
Sri,Venkateshwar,Bhavan,,,,
Sri,Bangalore,Bhavan,,,,
Adyar,Anand,Bhavan,Sweets,,,
Hotel,Mahesh,Bhavan,,,,
Bangalore,Agarwal,Bhavan,,,,
HSR,Agarval,Bhavan,,,,
Udupi,Sri,Krishna,Cafe,,,
Hotel,Udipi,Krishna,,,,
Radha,Krishna,Fast,Food,&,Juice,Centre
Sri,Krishna,Delight,,,,
Sri,Krishna,Kafe,,,,
Hotel,Sri,Devi,Veg,&,Non-Veg,
Hotel,Sri,Kumar,Bhavan,,,
Hotel,Sri,Annapoorneshwari,Veg,,,
SGS,Non-Veg,Veg,Gundu,Pulav,,
Chamarajpet,Non-Veg,Veg,Restaurant,,,
Suchi,Ruchi,Veg,&,Non-Veg,Resturant,
Tasty,Corner,Veg,And,Non-Veg,,
Sai,Bhavan,Veg,&,Non-Veg,,
BJ,Bhavan,Veg,Restaurants,,,
Sri,Krishna,Veg,,,,
Sri,Sagar,Veg,Fast,Food,,
Sri,Udupi,Veg,,,,
Urban,Udupi,Veg,Restaurant,,,
99,Udupi,Veg,,,,
Sri,Vishnu,Veg,,,,
Sri,Ayodhya,Veg,,,,
Sri,Upahara,Veg,,,,
Sri,Muthahalli,Veg,,,,
Hotel,Prameela,Veg,,,,
Hotel,Kadamba,Veg,,,,
Atithi,Grand,Veg,Hotel,,,
Udupi,Grand,Veg,,,,
Atithi,Aramane,Veg,,,,
The,Foodware,Veg,,,,
Chandra,Prakesh,Veg,Restaurant,,,
Akshaya,Sambrama,Veg,Restaurant,,,
Ram,Prasad,Veg,,,,
CraveBelly,Veg,&,Non-Veg,,,
Shreyas,Upahara,&,Burger,Point,,
Brahmin,Tiffins,&,Coffee,,,
Udupi,Veg,Express,,,,
Madurai,Veg,Kitchen,,,,
Shiny,Veg,Kitchen,,,,
Radhika,Veg,Delite,,,,
Narayana,Veg,Treat,,,,
Sri,Guru,Raghavendra,Grand,Veg,,
Kubera,Veg,and,Non-Veg,,,
Sastry,And,Sastry,Pure,Veg,Food,
Srinidhi,Veg,Food,Court,,,
Udupi,Food,Junction,,,,
New,Krishna,Sagar,,,,
Sri,Krishna,Sagar,,,,
Sri,Krishna,Sagar,Greens,,,
Sri,Udupi,Sagar,,,,
Hotel,Udupi,Sagar,,,,
Sri,Krishna,Upahara,,,,
New,Udupi,Upahara,,,,
Sri,Vishnu,Upahara,,,,
Hotel,Ayodhya,Upahara,,,,
Sri,Ragavendhra,Upahara,,,,
Sri,Kathyayani,Upahara,,,,
Sri,Ganesh,Upahara,,,,
New,Sri,Udupi,Restaurant,,,
New,Udupi,Shubh,Sagar,,,
New,Udupi,Delicacy,,,,
New,Udupi,Dharshini,,,,
Addhuri,Udupi,Bhojana,,,,
New,Shetty,Lunch,Bhavan,,,
Sri,Venkateshwara,Vishnu,Bhavan,,,
New,Udupi,Upahara,,,,
Sri,Banashankari,Upahara,,,,
Metro,Grand,Upahara,,,,
New,Udupi,Anand,Bhavan,,,
Udupi,Ruchi,Grand,,,,
The,Krishna,Grand,Xpress,,,
The,Krishna,Grand,,,,
New,Udupi,Grand,Hotel,,,
New,Udupi,Grand,,,,
Sri,Udupi,Grand,,,,
Sri,Udupi,Grand,,,,
Sri,Vishnu,Grand,,,,
Sri,Vishnu,Grand,,,,
Krishna,Leela,Grand,,,,
Sri,Krishna,Aramane,,,,
Jai,Bhavani,Savaji,Hotel,,,
Sri,Udupi,Cafe,,,,
Udupi,Brahmins,Cafe,,,,
Udupi,Gokul,Cafe,,,,
Vishwa,Brahmin's,Cafe,,,,
North,Se,South,Veg,&,Non-Veg,Restaurants
Sri,Udupi,South,kitchen,,,
Udupi,South,Saviruchi,,,,
Hotel,Udupi,Gokul,Grand,,,
New,Udupi,Park,Deluxe,,,
New,Udupi,Park,,,,
Sri,Udupi,Park,,,,
Sri,Vishnu,Park,,,,
Udupi,Park,Inn,,,,
Udupi,Thaja,Thindi,,,,
Udupi,Savi,Thindi,,,,
Udupi,Tazza,Thindi,,,,
Udupi,Biriyani,Point,,,,
New,Udupi,Palace,,,,
New,Udupi,Garden,,,,
Sri,Udupi,Deluxe,,,,
Sri,Sai,Darshini,Veg,Restaurant,,
Sri,Krishna,Darshini,,,,
Sri,Lakshmi,Darshini,Canteen,,,
Sri,Lakshmi,Darshini,,,,
Sri,Gurudev,Darshini,,,,
Siridhanya,Upahara,Darshini,,,,
Sri,Durga,Darshini,Veg,,,
Lakshmi,Bhavan,Veg,,,,
Sri,Guru,Vaibhava,Veg,,,
Hare,Krishna,Kuteera,,,,
RKA,Brahmins,Coffee,Bar,,,
Brahmin's,Coffee,Bar,,,,
Namma,Brahmin's,Idli,,,,
Brahmins',Thatte,Idli,,,,
'Brahmins',Thatte,Idli,,,,
Basava,Bhavana,(B2),,,,
Bhavani,Restaurant,,,,,
Udupi,Ruchi,,,,,
Udupi,Bhavan,,,,,
Upahara,Bhavan,,,,,
Srikrishna,Bhavan,,,,,
Vidyarthi,Bhavan,,,,,
Thejas,Bhavan,,,,,
Ganesh,Bhavan,,,,,
Raghavendra,Bhavan,,,,,
Hare,Krishna,,,,,
Shreyas,Veg,,,,,
ManjuSri,Veg,,,,,
Adithya,Veg,,,,,
Sandhya,Veg,,,,,
Vijayalakshmi,Veg,,,,,
Chaitanya,Veg,,,,,
Pooja,Veg,,,,,
Shilpa,Veg,,,,,
Sanman,Veg,,,,,
Samrudh,Veg,,,,,
Ashirvad,Veg,,,,,
Swaadam,Veg,,,,,
Sanjeevini,Veg,,,,,
Vijayalaxmi,Veg,,,,,
Chaithanya,Veg,,,,,
Brindavan,Veg,,,,,
Dambal's,Veg,,,,,
HVR,Veg,,,,,
Priyadarshini,Veg,,,,,
Sankranthi,Veg,,,,,
Annapurna,Veg,,,,,
Upahara,Sagar,,,,,
Krishna,Sagar,,,,,
Upahara,Sagar,,,,,
Vishnu,Sagar,,,,,
Sai,Upahara,,,,,
Udupi,Upahara,,,,,
SSV,Upahara,,,,,
Satkar,Upahara,,,,,
Ishta,Upahara,,,,,
Vinay,Upahara,,,,,
Nesara,Upahara,,,,,
Nidhish,Upahara,,,,,
New,Udupi,,,,,
Sri,Udupi,,,,,
Sri,Upahara,,,,,
Udupi,Upahara,,,,,
Raghavendra,Upahara,,,,,
ManjuSri,Upahara,,,,,
Bhavani,Upahara,,,,,
Kalpavriksha,Upahara,,,,,
Lalbagh,Upahara,,,,,
Nammura,Upahara,,,,,
SLV,Upahara,,,,,
Sri,Vishnupriya,,,,,
Udupi,Grand,,,,,
Krishna,Grand,,,,,
Brahmin,Cafe,,,,,
Udupi,Cafe,,,,,
S.L.V.Brahmin,Cafe,,,,,
Udupi,Palace,,,,,
Udupi,Garden,,,,,
Vishnu,Garden,,,,,
Udupi,Deluxe,,,,,
Udupi,Upachar,,,,,
Udupi,Thadka,,,,,
Udupi,Aatithya,,,,,
Udupi,Nalapaka,,,,,
Udupi,Delux,,,,,
Udupi,Gardenia,,,,,
Udupi,Vaibhav,,,,,
Upahara,Darshini,,,,,
Ganesh,Darshini,,,,,
Indira,Darshini,,,,,
Pushpa,Darshini,,,,,
Samrudhi,Darshini,,,,,
Upahara,Mandira,,,,,
Krishna,Vaibhava,,,,,
Krishna,Kuteera,,,,,
Upahara,BanaSri,,,,,
Bhavani,Foods,,,,,
Veganbreak24x7,,,,,,
Vegetarea,,,,,,
